Codigo,Descripcion,Precio Costo,Precio Venta,Precio Mayoreo,Inventario,Inv. Minimo,Departamento,keyword
757528015954,Paleta Manita 1,$0.00,$1.00,$0.00,0,0,Dulces,Paleta Manita 1
7506306413016,Paleta Pelon,$0.00,$10.00,$0.00,16,0,Holanda,Paleta Pelon
719886250033,Paleta Pelon Chamoy,$4.00,$5.00,$0.00,24,0,Dulces,Paleta Pelon Chamoy
754279000147,Paleta Pollo,$0.00,$1.50,$0.00,35,0,Tienda,Paleta Pollo
PALETA SANDIA,Paleta Sandia,$0.00,$1.50,$0.00,10,0,Tienda,Paleta Sandia
7501130934065,Paleta Solero Coco,$0.00,$15.00,$0.00,13,0,Holanda,Paleta Solero Coco
7501130934072,Paleta Solero Fresa,$0.00,$14.00,$0.00,0,0,Holanda,Paleta Solero Fresa
7506306400122,Paleta Solero Frutas Rojas,$0.00,$13.00,$0.00,0,0,- Sin Departamento -,Paleta Solero Frutas Rojas
7506306413054,Paleta Solero Frutos Rojos,$0.00,$17.00,$0.00,0,0,Holanda,Paleta Solero Frutos Rojos
7501130935512,Paleta Solero Limon,$0.00,$10.00,$0.00,3,0,Holanda,Paleta Solero Limon
75038441,Paleta Tarrito,$0.00,$1.50,$0.00,N/A,0,- Sin Departamento -,Paleta Tarrito
724869002738,Palillin,$0.00,$2.00,$0.00,1,0,Dulces,Palillin
7501281200026,Palillo Natural Pop,$9.00,$11.00,$11.00,0,0,Tienda,Palillo Natural Pop
6931575111232,Palillos,$0.00,$5.00,$0.00,0,0,- Sin Departamento -,Palillos
75050047,Pall Mall,$0.00,$40.00,$0.00,0,0,Tienda,Pall Mall
75052836,Pall Mall Doble Cap,$0.00,$40.00,$0.00,0,0,Tienda,Pall Mall Doble Cap
75048310,Pall Mall Havana,$0.00,$40.00,$0.00,0,0,Tienda,Pall Mall Havana
7509546032238,Palmolive Citricos 180g,$0.00,$15.00,$0.00,4,0,- Sin Departamento -,Palmolive Citricos 180g
7509546052915,Palmolive Coco 180g,$0.00,$15.00,$0.00,2,0,- Sin Departamento -,Palmolive Coco 180g
7509546054414,Palmolive Neutro 180g,$0.00,$15.00,$0.00,2,0,- Sin Departamento -,Palmolive Neutro 180g
7509546017389,Palmolive Optims,$58.00,$60.00,$0.00,0,0,Tienda,Palmolive Optims
7509546059167,Palmolive Tocador,$8.00,$13.00,$13.00,3,0,Tienda,Palmolive Tocador
7509546060910,Palmolive Tocador Neutro,$12.00,$15.00,$15.00,0,0,Tienda,Palmolive Tocador Neutro
7501006558005,Palomitas ACT II,$0.00,$9.00,$0.00,0,0,Tienda,Palomitas ACT II
7501006558425,Palomitas Act II Alitas,$0.00,$9.00,$0.00,13,0,Tienda,Palomitas Act II Alitas
7501006551082,Palomitas Act II Chile Y Limon,$7.00,$9.00,$9.00,8,0,Tienda,Palomitas Act II Chile Y Limon
7501006551068,Palomitas Act II Ex Mantequilla,$6.00,$8.00,$7.50,62,0,Tienda,Palomitas Act II Ex Mantequilla
7501006558296,Palomitas Act II Hershey´s,$0.00,$17.00,$0.00,5,0,Tienda,Palomitas Act II Hershey´s
7501006551303,Palomitas Act II Infierno,$5.50,$7.00,$7.00,0,0,Tienda,Palomitas Act II Infierno
7501006551051,Palomitas Act II Mantequilla,$6.00,$7.50,$7.50,0,0,Tienda,Palomitas Act II Mantequilla
7501006551044,Palomitas Act II Natural,$6.50,$8.50,$0.00,11,0,Tienda,Palomitas Act II Natural
7501006551105,Palomitas Act II Queso Jalapeño,$8.00,$10.00,$0.00,7,0,Tienda,Palomitas Act II Queso Jalapeño
7501006551112,Palomitas Act II Valentina,$24.00,$10.00,$9.00,8,0,Tienda,Palomitas Act II Valentina
7503021188021,Palomitas Caramelo,$0.00,$5.00,$0.00,0,0,Cariocas,Palomitas Caramelo
76150420098,Palomitas Caramelo 184g,$14.50,$19.00,$19.00,0,0,Tienda,Palomitas Caramelo 184g
7501393200815,Palomitas Mariachisimo,$6.50,$8.00,$0.00,1,0,Cariocas,Palomitas Mariachisimo
7501011155640,Palomitas Poffets 90gSab,$0.00,$7.00,$0.00,1,0,Tienda,Palomitas Poffets 90gSab
PAN 1,Pan 1,$0.00,$1.50,$0.00,N/A,0,Tienda,Pan 1
741,Pan 1.5,$0.00,$1.50,$0.00,N/A,0,Tienda,Pan 1.5
PAN 2,Pan 2,$0.00,$2.00,$0.00,0,0,Tienda,Pan 2
727,Pan 4,$0.00,$4.00,$0.00,N/A,0,Tienda,Pan 4
PAN 4,Pan 4,$0.00,$4.00,$0.00,N/A,0,Tienda,Pan 4
734,Pan 5,$0.00,$5.00,$0.00,N/A,0,Tienda,Pan 5
PAN 5,Pan 5,$0.00,$5.00,$0.00,N/A,0,Tienda,Pan 5
7501000111091,Pan Bimbo Chico,$16.00,$20.00,$0.00,1,0,Bimbo,Pan Bimbo Chico
7501030469735,Pan Bimo Rendidor,$0.00,$20.00,$0.00,0,0,Bimbo,Pan Bimo Rendidor
7501000122332,Pan Blanco Grande 650g,$22.00,$27.00,$0.00,2,0,Bimbo,Pan Blanco Grande 650g
7501030467090,Pan Cero,$25.00,$30.00,$0.00,1,0,Bimbo,Pan Cero
PAN BLANCO,Pan De Blanco,$0.00,$1.50,$0.00,N/A,0,Tienda,Pan De Blanco
7501030470076,Pan Doble Fibra,$21.50,$28.00,$0.00,0,0,Bimbo,Pan Doble Fibra
7501030491330,Pan Doble Fibra,$22.00,$28.00,$0.00,1,0,Bimbo,Pan Doble Fibra
7501000111466,Pan Integral  720gms,$23.00,$30.00,$0.00,2,0,Bimbo,Pan Integral  720gms
7501000336319,Pan Integral Chico Bimbo,$17.00,$23.00,$0.00,0,0,Bimbo,Pan Integral Chico Bimbo
7501000111855,Pan Molido Bimbo 175g,$10.00,$13.00,$0.00,10,0,Bimbo,Pan Molido Bimbo 175g
7501000149100,Pan Molido Ceujiente175 G,$10.00,$13.00,$0.00,0,0,Tienda,Pan Molido Ceujiente175 G
7501000131440,Pan Multigrano Bimbo,$0.00,$31.00,$0.00,1,0,Bimbo,Pan Multigrano Bimbo
7501030421788,Pan Rendidor,$17.00,$20.00,$0.00,1,0,Bimbo,Pan Rendidor
7501000111800,Pan Tostado Bimbo,$15.00,$18.00,$0.00,2,0,Bimbo,Pan Tostado Bimbo
7501000112333,Pan Tostado Doble  Fibra,$17.00,$21.00,$0.00,0,0,Bimbo,Pan Tostado Doble  Fibra
7501030491668,Pan Tostado Integral,$17.00,$21.00,$0.00,2,0,Tienda,Pan Tostado Integral
PAN3,Pan3,$0.00,$3.00,$0.00,16,0,Tienda,Pan3
7501000112326,Panqu cNuez,$18.00,$26.00,$0.00,2,0,Bimbo,Panqu cNuez
PANQUE,Panque,$0.00,$4.00,$0.00,7,0,Tienda,Panque
7501030496885,Panque Chocolate,$20.50,$26.00,$0.00,0,0,Bimbo,Panque Chocolate
7501000310647,Panque Marmol 300gBimbo,$19.00,$26.00,$23.00,0,0,Bimbo,Panque Marmol 300gBimbo
7501030462644,Panque Naranja,$0.00,$24.00,$0.00,0,0,Bimbo,Panque Naranja
7501000112302,Panque Pasas,$19.00,$26.00,$0.00,0,0,Bimbo,Panque Pasas
PANQUECITO,Panquecito,$0.00,$3.00,$0.00,17,0,Tienda,Panquecito
7501000112388,Panquecito cChocolate,$12.00,$15.00,$0.00,1,0,Bimbo,Panquecito cChocolate
7506195160435,Pantene,$0.00,$17.00,$0.00,2,0,Tienda,Pantene
7501007457796,Pantene  400ml,$40.00,$52.00,$0.00,0,0,Farmacia,Pantene  400ml
7506309840024,Pantene  400ml,$40.00,$52.00,$0.00,0,0,Farmacia,Pantene  400ml
7501006721232,Pantene 400ml,$38.00,$46.00,$0.00,1,0,Tienda,Pantene 400ml
7501001170318,Pantene 700ml,$71.00,$85.00,$0.00,0,0,Tienda,Pantene 700ml
7501001170448,Pantene 700ml,$71.00,$85.00,$0.00,1,0,Tienda,Pantene 700ml
7501001303471,Pantene 700ml,$71.00,$85.00,$0.00,1,0,Tienda,Pantene 700ml
7506195126325,Pantene Naturaleza 400ml,$40.00,$52.00,$0.00,0,0,Farmacia,Pantene Naturaleza 400ml
7506295326564,Pantene Sobre,$0.00,$2.50,$0.00,30,0,Tienda,Pantene Sobre
PAPA,Papa,$12.00,$13.00,$0.00,N/A,0,Verdura,Papa
1366,Papa 1k,$12.00,$16.00,$0.00,N/A,0,Verdura,Papa 1k
1380,Papa 250g,$3.00,$4.00,$0.00,N/A,0,Verdura,Papa 250g
1373,Papa 500g,$6.00,$8.00,$0.00,N/A,0,Verdura,Papa 500g
7501011131279,Papa Adobada,$16.00,$20.00,$0.00,3,0,Sabritas,Papa Adobada
7501011165687,Papa Sabritas Sal 175g,$0.00,$30.00,$0.00,1,0,Sabritas,Papa Sabritas Sal 175g
7501000360604,Papas Barcel  Toreadas 42,$0.00,$10.00,$0.00,3,0,Tienda,Papas Barcel  Toreadas 42
7501000149001,Papas Chips A La Diabla,$0.00,$12.00,$0.00,6,0,Tienda,Papas Chips A La Diabla
7501000394883,Papas Toreadas 170g,$0.00,$34.00,$0.00,1,0,Tienda,Papas Toreadas 170g
PAPAYA,Papaya,$17.00,$19.00,$0.00,N/A,0,Verdura,Papaya
1397,Papaya 1k,$0.00,$13.00,$0.00,N/A,0,Verdura,Papaya 1k
1410,Papaya 250g,$0.00,$3.50,$0.00,N/A,0,Verdura,Papaya 250g
