Codigo,Descripcion,Precio Costo,Precio Venta,Precio Mayoreo,Inventario,Inv. Minimo,Departamento,keyword
74323083620,Cajeta Coronado Envin370,$26.00,$34.00,$0.00,2,0,- Sin Departamento -,Cajeta Coronado Envin370
74323083644,Cajeta Coronado Vain370g,$26.00,$34.00,$0.00,2,0,- Sin Departamento -,Cajeta Coronado Vain370g
7503013040207,Cal C Tose 400g,$36.50,$44.00,$0.00,1,0,Tienda,Cal C Tose 400g
CALABAZA,Calabaza,$20.00,$22.00,$0.00,N/A,0,Verdura,Calabaza
7501005199292,Caldo De Pollo 264gm,$30.00,$39.00,$0.00,4,0,- Sin Departamento -,Caldo De Pollo 264gm
7501005112222,Caldo De Pollo 370gr,$30.50,$40.00,$40.50,1,0,Tienda,Caldo De Pollo 370gr
7501005181044,Caldo De Pollo 800g,$65.00,$81.00,$94.00,1,0,Tienda,Caldo De Pollo 800g
7501006713381,Camay Clasico 180g,$8.50,$12.00,$0.00,12,0,Tienda,Camay Clasico 180g
7501030490388,Canapinas 140g,$0.00,$11.00,$0.00,1,0,Marinela,Canapinas 140g
7501000135257,Canapinas Lara 80g,$5.50,$9.00,$0.00,3,0,Marinela,Canapinas Lara 80g
7501030491644,Canelitas 90g,$8.50,$10.00,$0.00,3,0,Marinela,Canelitas 90g
7501030475033,Canelitas Tubo,$14.00,$20.00,$0.00,2,0,Marinela,Canelitas Tubo
75022983,Canels Rojo,$0.00,$1.00,$0.00,30,0,Gamesa,Canels Rojo
75022976,Canels Rosa,$0.00,$0.50,$0.00,30,0,Dulces,Canels Rosa
7509546045139,Cap Esp. Rep Compl.,$23.50,$31.00,$0.00,1,0,- Sin Departamento -,Cap Esp. Rep Compl.
7503011960019,Cappuccino,$5.00,$7.00,$6.50,5,0,Tienda,Cappuccino
7503011960118,Cappuccino Chocolate 45grm,$9.00,$12.00,$0.00,1,0,Tienda,Cappuccino Chocolate 45grm
7503011960002,Cappuccino Clasico 45grm,$9.00,$12.00,$0.00,3,0,Tienda,Cappuccino Clasico 45grm
7503011960095,Cappuccino Moka 45grm,$9.00,$12.00,$0.00,0,0,Tienda,Cappuccino Moka 45grm
7503011960101,Cappuccino Vainilla,$9.00,$12.00,$11.00,0,0,Tienda,Cappuccino Vainilla
7509546058979,Caprice  Algas  316ml,$26.50,$34.00,$0.00,2,0,Farmacia,Caprice  Algas  316ml
7509546036045,Caprice 1L,$0.00,$31.00,$0.00,0,0,Tienda,Caprice 1L
7509546026916,Caprice 1L,$0.00,$31.00,$0.00,1,0,Tienda,Caprice 1L
7509546061122,Caprice 1L,$0.00,$31.00,$0.00,2,0,Tienda,Caprice 1L
7509546061108,Caprice 1L,$0.00,$31.00,$0.00,2,0,Tienda,Caprice 1L
7509546026985,Caprice 1l,$0.00,$31.00,$0.00,1,0,Tienda,Caprice 1l
7509546030074,Caprice 220 Maxi Glo,$0.00,$13.00,$0.00,1,0,Tienda,Caprice 220 Maxi Glo
7509546043159,Caprice 800ml,$0.00,$35.00,$0.00,1,0,Tienda,Caprice 800ml
7509546058146,Caprice 800ml,$0.00,$35.00,$0.00,1,0,Tienda,Caprice 800ml
7509546058955,Caprice Anticeramidas  316ml,$26.50,$34.00,$0.00,1,0,Farmacia,Caprice Anticeramidas  316ml
7509546058993,Caprice Cirtrico  316ml,$0.00,$37.00,$0.00,2,0,Tienda,Caprice Cirtrico  316ml
7509546058986,Caprice Kiwi 316ml,$26.50,$34.00,$0.00,2,0,Farmacia,Caprice Kiwi 316ml
7509546058962,Caprice Sabila 316ml,$26.50,$34.00,$0.00,1,0,Farmacia,Caprice Sabila 316ml
7509546063065,Caprice Sobre,$0.00,$3.00,$0.00,0,0,- Sin Departamento -,Caprice Sobre
7502223770805,Capullo 905ml,$0.00,$30.00,$0.00,13,0,Tienda,Capullo 905ml
754177505812,Caramelo Winis,$1.00,$2.00,$1.50,4,0,Dulces,Caramelo Winis
7501003629043,Caribe Cooler Fresa 300Ml,$0.00,$15.00,$0.00,18,0,Tienda,Caribe Cooler Fresa 300Ml
7501003631046,Caribe Durazno 300Ml,$12.00,$15.00,$15.00,12,0,vino,Caribe Durazno 300Ml
7501032485047,Caribe Fresa,$13.00,$15.00,$0.00,12,0,vino,Caribe Fresa
7501059236158,Carlos V,$3.50,$5.00,$5.00,47,0,Tienda,Carlos V
7501059287327,Carlos V Blanco,$1.00,$1.50,$0.00,17,0,- Sin Departamento -,Carlos V Blanco
7501059224346,Carlos V Stick,$0.00,$2.00,$0.00,23,0,Dulces,Carlos V Stick
7501017050161,Catsup La Costeña400g,$0.00,$12.00,$12.00,25,0,Tienda,Catsup La Costeña400g
CEBOLLA,Cebolla,$12.00,$12.00,$0.00,N/A,0,Tienda,Cebolla
757528020897,Cemillas 28g,$0.00,$10.00,$0.00,2,0,Barcel,Cemillas 28g
7501048810307,Centenario Plata 700ml,$145.00,$190.00,$190.00,0,0,Tienda,Centenario Plata 700ml
99176316831,Cepillo Colgate,$8.00,$12.00,$0.00,0,0,Farmacia,Cepillo Colgate
6910021007206,Cepillo Dental Colgate,$8.00,$13.00,$0.00,4,0,Tienda,Cepillo Dental Colgate
7506192504539,Cera Ego,$0.00,$15.00,$0.00,2,0,Tienda,Cera Ego
7506192504515,Cera Ego Verde},$0.00,$15.00,$0.00,1,0,Tienda,Cera Ego Verde}
75025168,Cerillo Flama Ch,$2.00,$2.50,$0.00,44,0,Tienda,Cerillo Flama Ch
7501064112546,Cerveza Bote Modelo,$13.00,$15.50,$0.00,0,0,Corona,Cerveza Bote Modelo
7501064101410,Cerveza Corona Media,$0.00,$12.00,$0.00,1,0,Tienda,Cerveza Corona Media
7501064101205,Cerveza Corona Mega,$0.00,$36.00,$0.00,0,0,vino,Cerveza Corona Mega
75027285,Cerveza Negra Modelo,$0.00,$12.00,$0.00,4,0,Tienda,Cerveza Negra Modelo
7501064191909,Cerveza Victoria Meg,$0.00,$34.00,$0.00,1,0,Tienda,Cerveza Victoria Meg
7502208805171,Charola Termica Reym,$6.00,$8.00,$8.00,10,0,Tienda,Charola Termica Reym
7501011143753,Cheetos Flamin Hot,$5.00,$7.00,$0.00,13,0,Sabritas,Cheetos Flamin Hot
7501011158320,Cheetos Flamin Hot 27g,$0.00,$6.00,$0.00,4,0,Tienda,Cheetos Flamin Hot 27g
7501011167452,Cheetos Poffs Chicos,$4.00,$5.00,$0.00,2,0,Tienda,Cheetos Poffs Chicos
7501393200594,Chetos,$6.50,$8.00,$0.00,2,0,Cariocas,Chetos
7501011143777,Chetos Bolitas,$0.00,$7.00,$0.00,5,0,Sabritas,Chetos Bolitas
7501011162150,Chetos Bolitas Chicos,$4.00,$5.00,$0.00,1,0,Tienda,Chetos Bolitas Chicos
7501011143852,Chetos Colmillos,$0.00,$6.00,$0.00,0,0,Sabritas,Chetos Colmillos
7501011165717,Chetos Colmillos,$0.00,$7.00,$0.00,4,0,Tienda,Chetos Colmillos
7501011158009,Chetos Colmillos Chicos,$4.00,$5.00,$0.00,4,0,Tienda,Chetos Colmillos Chicos
