Codigo,Descripcion,Precio Costo,Precio Venta,Precio Mayoreo,Inventario,Inv. Minimo,Departamento,keyword
7501030472179,Tortillinas Precocidas 12p,$12.00,$15.00,$0.00,0,0,Bimbo,Tortillinas Precocidas 12p
7501030470861,Tortillinas Tia Rosa,$11.00,$14.00,$0.00,0,0,Bimbo,Tortillinas Tia Rosa
7501000106936,Tost Planas Milpa 175g,$0.00,$13.00,$0.00,0,0,Bimbo,Tost Planas Milpa 175g
7501000264841,Tostachos,$0.00,$8.00,$0.00,3,0,Tienda,Tostachos
757528022396,Tostachos Con Sal 170g,$0.00,$20.00,$0.00,0,0,Barcel,Tostachos Con Sal 170g
7501393200372,Tostada Cariocas 300g,$15.50,$18.50,$0.00,4,0,Cariocas,Tostada Cariocas 300g
7501030499534,Tostada Milpa Real 15 Pzs,$0.00,$11.00,$0.00,0,0,Bimbo,Tostada Milpa Real 15 Pzs
7501393200020,Tostadas Botaneras Carioca,$12.50,$15.00,$0.00,5,0,Cariocas,Tostadas Botaneras Carioca
7501393200389,Tostadas Cariocas Con Ajonjoli 300g,$0.00,$18.50,$0.00,0,0,Cariocas,Tostadas Cariocas Con Ajonjoli 300g
7501393200310,Tostadas Con Ajonjoli 350g,$16.00,$18.50,$0.00,0,0,Cariocas,Tostadas Con Ajonjoli 350g
7501000157075,Tostadas Mipa Real 360g,$16.00,$21.00,$0.00,4,0,Bimbo,Tostadas Mipa Real 360g
7501011136946,Tostitos Queso Picante,$7.00,$9.00,$0.00,3,0,Sabritas,Tostitos Queso Picante
7500366001435,Totis Queso,$0.00,$2.00,$0.00,0,0,Tienda,Totis Queso
7501393200747,Totopos Chilaquiles,$0.00,$20.00,$0.00,0,0,Cariocas,Totopos Chilaquiles
7501000364695,Totopos Del Hogar 280g,$16.00,$19.00,$0.00,0,0,Tienda,Totopos Del Hogar 280g
7501030480778,Totopos Milpa Real 2,$16.00,$20.00,$0.00,0,0,Bimbo,Totopos Milpa Real 2
7501030459132,Totopos Para Chilaquiles,$0.00,$20.00,$0.00,1,0,Tienda,Totopos Para Chilaquiles
75045685,Trident 4´s,$1.00,$1.50,$0.00,24,0,Dulces,Trident 4´s
7506105606145,Trident Fresa,$3.00,$6.00,$6.00,0,0,Dulces,Trident Fresa
7506105604455,Trident Frutas,$0.00,$7.00,$0.00,0,0,Dulces,Trident Frutas
75045494,Trident Menta,$1.00,$1.50,$1.50,0,0,Dulces,Trident Menta
7506105604448,Trident Menta,$0.00,$7.00,$0.00,0,0,Dulces,Trident Menta
75045623,Trident Menta 4´s,$0.00,$1.50,$0.00,24,0,Dulces,Trident Menta 4´s
7506105606138,Trident Mora Azul,$0.00,$5.00,$0.00,0,0,Dulces,Trident Mora Azul
7506105602543,Trident Rosa,$0.00,$7.00,$0.00,6,0,Tienda,Trident Rosa
7506105604462,Trident Sandia,$0.00,$7.00,$0.00,0,0,Dulces,Trident Sandia
7506105602635,Trident Twist,$4.50,$7.00,$7.00,0,0,Dulces,Trident Twist
7501056901899,Trident Xtra Care Fresh,$4.00,$7.00,$7.00,0,0,Dulces,Trident Xtra Care Fresh
7506105604431,Trient Rojo,$4.50,$7.00,$7.00,0,0,Dulces,Trient Rojo
7501000140855,Triki Trakes 69g,$8.50,$10.00,$0.00,3,0,Marinela,Triki Trakes 69g
7501030475019,Tubo Trikitrakes,$0.00,$20.00,$0.00,1,0,Marinela,Tubo Trikitrakes
7501030457145,Tubos Triki Trakes,$0.00,$15.00,$0.00,0,0,Marinela,Tubos Triki Trakes
TUNA,Tuna,$7.00,$9.00,$0.00,0,0,Verdura,Tuna
756774022112,Turin,$62.00,$80.50,$0.00,0,0,- Sin Departamento -,Turin
756774062057,Turin,$75.00,$97.50,$0.00,0,0,- Sin Departamento -,Turin
756774023249,Turin,$92.00,$110.00,$0.00,0,0,- Sin Departamento -,Turin
756774072742,Turin,$101.00,$131.50,$0.00,0,0,- Sin Departamento -,Turin
756774070670,Turin,$0.00,$80.00,$0.00,0,0,Tienda,Turin
756774070687,Turin,$0.00,$80.00,$0.00,0,0,Tienda,Turin
756774023522,Turin,$0.00,$110.00,$0.00,0,0,Tienda,Turin
756774061739,Turin 120g,$0.00,$55.00,$0.00,0,0,Tienda,Turin 120g
756774021344,Turin 300g,$0.00,$110.00,$0.00,0,0,Dulces,Turin 300g
756774054847,Turin Bayleys,$0.00,$45.00,$0.00,0,0,Dulces,Turin Bayleys
756774073022,Turin Caja,$44.00,$57.00,$0.00,1,0,- Sin Departamento -,Turin Caja
756774080372,Turin Cereza,$55.50,$72.00,$0.00,1,0,Tienda,Turin Cereza
756774092108,Turin Chocolate Media Luna,$42.00,$55.00,$55.00,0,0,Tienda,Turin Chocolate Media Luna
756774092115,Turin Cubo,$42.00,$55.00,$55.00,0,0,Tienda,Turin Cubo
756774052270,Turin Estuche Jose Cuervo 160g,$75.00,$97.50,$0.00,0,0,Dulces,Turin Estuche Jose Cuervo 160g
756774054854,Turin Jose Cuervo 80g,$0.00,$50.00,$0.00,0,0,Dulces,Turin Jose Cuervo 80g
756774054830,Turin Kahlua,$0.00,$45.00,$0.00,0,0,Dulces,Turin Kahlua
756774080464,Turin Menta Bote,$0.00,$100.00,$0.00,0,0,Dulces,Turin Menta Bote
756774093860,Turin Muñeco De Nieve,$53.50,$69.50,$69.50,0,0,Tienda,Turin Muñeco De Nieve
756774093150,Turin Rojo 100g,$0.00,$47.00,$0.00,0,0,Dulces,Turin Rojo 100g
756774074142,Turin Rosa 100g,$0.00,$46.00,$0.00,0,0,Dulces,Turin Rosa 100g
756774093877,Turin Santa Claus,$53.50,$69.50,$69.50,0,0,Tienda,Turin Santa Claus
TUTSIPOP,Tutsipop,$0.00,$3.00,$0.00,15,0,Tienda,Tutsipop
VEL,VELITA,$0.50,$1.00,$0.50,0,0,Dulces,VELITA
7501000646975,VUALA,$0.00,$10.00,$0.00,0,0,Bimbo,VUALA
7501130932504,Vainilla,$0.00,$23.50,$0.00,0,0,- Sin Departamento -,Vainilla
735257006016,Vainilla 120ml,$0.00,$7.00,$0.00,0,0,Tienda,Vainilla 120ml
7503011960033,Vainilla Gard,$5.00,$7.00,$6.50,5,0,Tienda,Vainilla Gard
7501055330461,Valle Frut 2l Citrus,$0.00,$14.00,$0.00,0,0,Refresco,Valle Frut 2l Citrus
7501055330812,Valle Frut 3L,$17.50,$20.00,$0.00,7,0,Refresco,Valle Frut 3L
7501055342730,Valle Frut Guayaba,$0.00,$17.00,$0.00,0,0,Refresco,Valle Frut Guayaba
650240022593,Vanart,$0.00,$21.00,$0.00,0,0,- Sin Departamento -,Vanart
650240022654,Vanart,$0.00,$21.00,$0.00,0,0,- Sin Departamento -,Vanart
650240022616,Vanart,$15.50,$21.00,$0.00,0,0,- Sin Departamento -,Vanart
7501058752772,Vanish 450ml,$0.00,$15.00,$0.00,6,0,Tienda,Vanish 450ml
7503002319529,Vanish 925ml Quitama,$0.00,$30.00,$0.00,12,0,- Sin Departamento -,Vanish 925ml Quitama
752216095232,Vaso 6,$11.00,$13.00,$13.00,0,0,Tienda,Vaso 6
7501431201125,Vaso Conv. 12,$8.50,$11.00,$0.00,3,0,Tienda,Vaso Conv. 12
7502208800077,Vaso Desechable 8,$0.00,$13.00,$0.00,6,0,Tienda,Vaso Desechable 8
752216031094,Vaso Jaguar 8,$12.00,$14.00,$14.00,17,0,Tienda,Vaso Jaguar 8
744911006231,Vaso Karla 150g,$0.00,$7.00,$0.00,2,0,Tienda,Vaso Karla 150g
7501431201088,Vaso Nieve Seca No8,$6.00,$8.00,$8.00,29,0,Tienda,Vaso Nieve Seca No8
7501431261105,Vaso Termico N 10,$6.00,$9.00,$9.00,51,0,Tienda,Vaso Termico N 10
7702144012439,Vaso Tuc,$0.00,$13.00,$0.00,15,0,Tienda,Vaso Tuc
7501035904071,Vel Rosita 1 Lt,$31.50,$41.00,$41.00,2,0,Detergentes,Vel Rosita 1 Lt
7509546045689,Vel Rosita 450ml,$16.00,$19.00,$19.00,3,0,Detergentes,Vel Rosita 450ml
7501102232267,Vela Farol,$0.00,$5.00,$0.00,65,0,Tienda,Vela Farol
7501102295859,Veladora Copa,$0.00,$21.00,$0.00,0,0,Tienda,Veladora Copa
7501102269508,Veladora Eco. Semanaria Farolito,$16.00,$21.00,$0.00,22,0,Tienda,Veladora Eco. Semanaria Farolito
7501102269515,Veladora Ecologica 1/2 Semana,$9.00,$11.00,$0.00,47,0,Tienda,Veladora Ecologica 1/2 Semana
7501557200163,Veladora Ecologica A,$0.00,$13.00,$0.00,0,0,Tienda,Veladora Ecologica A
7501102280701,Veladora Farolito Cafetero,$11.50,$14.00,$0.00,0,0,Tienda,Veladora Farolito Cafetero
7501102212214,Veladora Farolito Chica,$0.00,$6.50,$0.00,148,0,Tienda,Veladora Farolito Chica
7501102212207,Veladora Farolito No2,$0.00,$5.00,$0.00,59,0,Tienda,Veladora Farolito No2
7501102290342,Veladora Infantil Farolito,$10.00,$13.00,$13.00,20,0,Tienda,Veladora Infantil Farolito
7502002342902,Veladora Limonera La Gloria,$8.00,$11.00,$11.00,0,0,Tienda,Veladora Limonera La Gloria
744831150953,Veladora Limonero,$15.00,$18.00,$16.00,2,0,Tienda,Veladora Limonero
7501102212511,Veladora Papel Farol,$11.50,$13.50,$13.50,31,0,Tienda,Veladora Papel Farol
7502012641552,Veladora San Felipe 1/2 Diamante,$24.50,$30.00,$30.00,9,0,Tienda,Veladora San Felipe 1/2 Diamante
7502012640739,Veladora San Felipe Chica,$11.00,$13.00,$12.50,34,0,Tienda,Veladora San Felipe Chica
7502012641156,Veladora San Felipe Grande,$44.50,$54.00,$54.00,6,0,Tienda,Veladora San Felipe Grande
7502012640654,Veladora Semanaria,$19.50,$24.00,$21.00,11,0,Tienda,Veladora Semanaria
7501053670934,Via Real 25l,$0.00,$60.00,$0.00,0,0,vino,Via Real 25l
7501053670637,Via Real Vidrio 330,$0.00,$12.00,$0.00,51,0,Tienda,Via Real Vidrio 330
7501064115400,Victoria 355ml,$10.00,$12.00,$0.00,171,0,Corona,Victoria 355ml
75025663,Victoria Desechable,$0.00,$14.00,$0.00,0,0,vino,Victoria Desechable
7501064194139,Victoria Lata,$0.00,$16.00,$0.00,0,0,vino,Victoria Lata
7501083100029,Vinagre Barrilito Bl,$0.00,$10.00,$0.00,0,0,Tienda,Vinagre Barrilito Bl
7501083100036,Vinagre Barrilito Ma,$0.00,$15.00,$0.00,2,0,Tienda,Vinagre Barrilito Ma
7501052475004,Vinagre Blanco 500ml,$6.00,$8.00,$8.00,0,0,Tienda,Vinagre Blanco 500ml
7501083100012,Vinagre Caña,$0.00,$10.00,$0.00,1,0,Tienda,Vinagre Caña
7501052475202,Vinagre De Manzana,$8.50,$11.00,$11.00,0,0,Tienda,Vinagre De Manzana
7506192505123,Vive 100,$0.00,$10.00,$0.00,0,0,Tienda,Vive 100
7506192502726,Vive 100,$11.50,$15.00,$15.00,17,0,Tienda,Vive 100
7501053670101,Viña Real,$10.50,$13.00,$0.00,50,0,vino,Viña Real
7501017376322,Vogue 400 hjs,$18.50,$22.00,$20.00,54,0,Tienda,Vogue 400 hjs
7501943461918,Vogue Jumbo,$24.00,$28.50,$27.00,17,0,Tienda,Vogue Jumbo
7501000646951,Vuala,$0.00,$10.00,$0.00,0,0,Bimbo,Vuala
7501000628933,Vuala 70 gms,$8.00,$10.00,$0.00,1,0,Gamesa,Vuala 70 gms
