Codigo,Producto,Precio Costo,Precio,Precio Mayoreo,Inventario,Inv. Minimo,Departamento
75051938,Bubbaloo,$0.00,$1.00,$0.00,1,0,Dulces
7432354,BubuLubu Ricolino 35g,$4.50,$7.00,$0.00,2,0,Barcel
75043742,Bubulubu Platano,$0.00,$1.00,$0.00,3,0,Tienda
7501000000000,CACAHUATES HOT NUTS 50G,$5.50,$7.00,$0.00,5,0,Barcel
75036553,CERILLOS,$0.00,$2.00,$0.00,81,0,Tienda
7501230000000,CERILLOS FLAMA,$3.00,$5.00,$0.00,9,0,Tienda
7506110000000,CHicle Clorets 189 G Ad,$0.00,$6.00,$0.00,13,0,Tienda
75030438,CLORETS 4P,$0.00,$1.50,$0.00,21,0,Dulces
 COCA VIDRIO 237ML,COCA VIDRIO 237ML,$0.00,$6.50,$0.00,24,0,Refresco
7501000000000,CRACKETS 135G,$6.00,$11.00,$0.00,0,0,Gamesa
749788000000,Cabrito 750ml,$144.00,$187.00,$0.00,0,0,vino
7501030000000,Cacah Hot Nuts 50g Euph,$0.00,$7.00,$0.00,3,0,- Sin Departamento -
7500480000000,Cacahuates ,$14.00,$17.00,$0.00,7,0,Sabritas
7501390000000,Cacahuates Cariocas,$0.00,$11.00,$0.00,0,0,Tienda
757528000000,Cacahuates Enchilados,$0.00,$10.00,$0.00,0,0,Barcel
7501000000000,Cacahuates Golden Nuts 45,$0.00,$6.00,$0.00,3,0,Tienda
7501000000000,Cacahuates GoldenNuts 45g,$0.00,$6.00,$0.00,4,0,Barcel
7506170000000,Cachorro,$0.00,$15.00,$0.00,8,0,pedigree
7501060000000,Cafe 3 En 1,$2.50,$3.00,$0.00,9,0,Tienda
7503010000000,Cafe Gardelo,$5.00,$7.00,$6.50,2,0,Tienda
7501050000000,Cafe Legal,$7.00,$7.00,$0.00,35,0,Nestle
7501050000000,Cafe Legal 30g,$4.00,$6.00,$6.00,166,0,Tienda
756774000000,Caja Amarilla Turin,$44.00,$57.00,$0.00,1,0,- Sin Departamento -
74323080421,Cajeta 660g,$0.00,$65.00,$0.00,1,0,Tienda
74323083651,Cajeta CoronQuemada 370g,$26.00,$34.00,$0.00,1,0,- Sin Departamento -
74323088168,Cajeta Coronado,$0.00,$30.00,$0.00,0,0,Tienda
74323083620,Cajeta Coronado Envin370,$26.00,$34.00,$0.00,2,0,- Sin Departamento -
74323083644,Cajeta Coronado Vain370g,$26.00,$34.00,$0.00,2,0,- Sin Departamento -
7503010000000,Cal C Tose 400g,$36.50,$44.00,$0.00,1,0,Tienda
 CALABAZA,Calabaza,$20.00,$22.00,$0.00,0,0,Verdura
7501010000000,Caldo De Pollo 264gm,$30.00,$39.00,$0.00,4,0,- Sin Departamento -
7501010000000,Caldo De Pollo 370gr,$30.50,$40.00,$40.50,1,0,Tienda
7501010000000,Caldo De Pollo 800g,$65.00,$81.00,$94.00,1,0,Tienda
7501010000000,Camay Clasico 180g,$8.50,$12.00,$0.00,12,0,Tienda
7501030000000,Canapinas 140g,$0.00,$11.00,$0.00,4,0,Marinela
7501000000000,Canapinas Lara 80g,$5.50,$9.00,$0.00,3,0,Marinela
7501030000000,Canelitas,$14.00,$17.00,$0.00,1,0,Marinela
7501030000000,Canelitas 90g,$8.50,$10.00,$0.00,2,0,Marinela
7501030000000,Canelitas Tubo,$14.00,$20.00,$0.00,2,0,Marinela
75022983,Canels Rojo,$0.00,$1.00,$0.00,30,0,Gamesa
75022976,Canels Rosa,$0.00,$0.50,$0.00,30,0,Dulces
7509550000000,Cap Esp. Rep Compl.,$23.50,$31.00,$0.00,1,0,- Sin Departamento -
7503010000000,Cappuccino,$5.00,$7.00,$6.50,5,0,Tienda
7503010000000,Cappuccino Chocolate 45grm,$9.00,$12.00,$0.00,1,0,Tienda
7503010000000,Cappuccino Clasico 45grm,$9.00,$12.00,$0.00,3,0,Tienda
7503010000000,Cappuccino Moka 45grm,$9.00,$12.00,$0.00,0,0,Tienda
7503010000000,Cappuccino Vainilla,$9.00,$12.00,$11.00,0,0,Tienda
7509550000000,Caprice  Algas  316ml,$26.50,$34.00,$0.00,2,0,Farmacia
7509550000000,Caprice 1L,$0.00,$31.00,$0.00,0,0,Tienda
7509550000000,Caprice 1L,$0.00,$31.00,$0.00,1,0,Tienda
7509550000000,Caprice 1L,$0.00,$31.00,$0.00,1,0,Tienda
7509550000000,Caprice 1L,$0.00,$31.00,$0.00,2,0,Tienda
7509550000000,Caprice 1l,$0.00,$31.00,$0.00,1,0,Tienda
7509550000000,Caprice 220 Maxi Glo,$0.00,$13.00,$0.00,1,0,Tienda
7509550000000,Caprice 800ml,$0.00,$35.00,$0.00,1,0,Tienda
7509550000000,Caprice 800ml,$0.00,$35.00,$0.00,1,0,Tienda
7509550000000,Caprice Anticeramidas  316ml,$26.50,$34.00,$0.00,1,0,Farmacia
7509550000000,Caprice Cirtrico  316ml,$0.00,$37.00,$0.00,2,0,Tienda
7509550000000,Caprice Kiwi 316ml,$26.50,$34.00,$0.00,2,0,Farmacia
7509550000000,Caprice Sabila 316ml,$26.50,$34.00,$0.00,1,0,Farmacia
7509550000000,Caprice Sobre,$0.00,$3.00,$0.00,0,0,- Sin Departamento -
7502220000000,Capullo 905ml,$0.00,$30.00,$0.00,13,0,Tienda
754178000000,Caramelo Winis,$1.00,$2.00,$1.50,4,0,Dulces
7501000000000,Caribe Cooler Fresa 300Ml,$0.00,$15.00,$0.00,18,0,Tienda
7501000000000,Caribe Durazno 300Ml,$12.00,$15.00,$15.00,12,0,vino
7501030000000,Caribe Fresa,$13.00,$15.00,$0.00,12,0,vino
